Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Denver Nuggets*,53,29,0.646,—,115.8,112.5,3.04
Memphis Grizzlies*,51,31,0.622,2,116.9,113,3.6
Sacramento Kings*,48,34,0.585,5,120.7,118.1,2.3
Phoenix Suns*,45,37,0.549,8,113.6,111.6,2.08
Los Angeles Clippers*,44,38,0.537,9,113.6,113.1,0.31
Golden State Warriors*,44,38,0.537,9,118.9,117.1,1.66
Los Angeles Lakers*,43,39,0.524,10,117.2,116.6,0.43
Minnesota Timberwolves*,42,40,0.512,11,115.8,115.8,-0.22
New Orleans Pelicans,42,40,0.512,11,114.4,112.5,1.63
Oklahoma City Thunder,40,42,0.488,13,117.5,116.4,0.96
Dallas Mavericks,38,44,0.463,15,114.2,114.1,-0.14
Utah Jazz,37,45,0.451,16,117.1,118,-1.03
Portland Trail Blazers,33,49,0.402,20,113.4,117.4,-3.96
Houston Rockets,22,60,0.268,31,110.7,118.6,-7.62
San Antonio Spurs,22,60,0.268,31,113,123.1,-9.82
